Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1209386,3001962444,1867957,Recolectado,2021-02-27T14:46:11.073Z,
1209375,3001962542,1867946,Recolectado,2021-02-27T14:42:57.150Z,
1209355,3001962414,1867921,Recolectado,2021-02-27T14:30:05.284Z,
1209297,3001962387,1867847,Recolectado,2021-02-27T13:41:45.898Z,
1209235,3001962338,1867773,Recolectado,2021-02-27T12:07:00.600Z,
1209228,3001962229,1867764,Recolectado,2021-02-27T11:52:31.058Z,
1209212,1001962213,1867743,Recolectado,2021-02-27T10:33:26.831Z,
1209210,3001962211,1867741,Recolectado,2021-02-27T10:32:21.528Z,
1209208,3001962210,1867738,Recolectado,2021-02-27T10:27:22.194Z,
1209208,3001962210,1867737,Recolectado,2021-02-27T10:27:18.506Z,
1209179,3001962175,1867693,Recolectado,2021-02-27T08:31:24.492Z,
1209179,3001962175,1867692,Recolectado,2021-02-27T08:31:21.309Z,
1209161,1001962155,1867669,Recolectado,2021-02-27T07:52:16.578Z,
1209156,1001962138,1867663,Recolectado,2021-02-27T07:46:05.908Z,
1209111,1001962015,1867600,Recolectado,2021-02-27T06:56:34.524Z,
1209076,3001961987,1867553,Recolectado,2021-02-27T06:31:06.897Z,
1209036,3001961965,1867500,Recolectado,2021-02-27T06:02:23.333Z,
1209025,3001961908,1867487,Recolectado,2021-02-27T05:54:44.691Z,
1208978,1001961868,1867431,Recolectado,2021-02-27T05:24:19.051Z,
1208860,1001961685,1867269,Recolectado,2021-02-27T04:31:07.208Z,
1208805,3001961538,1867199,Recolectado,2021-02-27T04:13:43.031Z,
1208796,3001961330,1867192,Recolectado,2021-02-27T04:07:53.095Z,
1208699,3001961386,1867047,Recolectado,2021-02-27T03:30:06.780Z,
1208636,3001961363,1866979,Recolectado,2021-02-27T03:12:54.940Z,
1208630,1001961354,1866972,Recolectado,2021-02-27T03:09:44.419Z,
1208552,1001961187,1866876,Recolectado,2021-02-27T02:42:34.910Z,
1208451,1001960982,1866748,Recolectado,2021-02-27T02:03:47.256Z,
1208451,1001960982,1866747,Recolectado,2021-02-27T02:03:45.195Z,
1208372,1001960927,1866649,Recolectado,2021-02-27T01:41:48.294Z,
1208278,1001960842,1866519,Recolectado,2021-02-27T01:08:16.074Z,
1208278,1001960842,1866517,Recolectado,2021-02-27T01:08:12.335Z,
1208259,3001960701,1866479,Recolectado,2021-02-27T00:58:25.400Z,
1208238,1001960685,1866436,Recolectado,2021-02-27T00:48:27.849Z,
1208204,3001960674,1866390,Recolectado,2021-02-27T00:38:30.737Z,
1208192,3001960671,1866366,Recolectado,2021-02-27T00:31:58.492Z,
1208182,3001960666,1866354,Recolectado,2021-02-27T00:27:04.934Z,
1208180,3001960665,1866352,Recolectado,2021-02-27T00:24:08.646Z,
1208166,2001960662,1866334,Recolectado,2021-02-27T00:19:07.167Z,
1208126,2001960595,1866265,Recolectado,2021-02-27T00:03:39.734Z,
1208113,1001960411,1866251,Recolectado,2021-02-27T00:00:05.154Z,
1208105,1001960579,1866231,Recolectado,2021-02-26T23:56:53.408Z,
1208105,1001960579,1866230,Recolectado,2021-02-26T23:56:52.342Z,
1208077,3001960397,1866153,Recolectado,2021-02-26T23:46:06.700Z,
1208053,3001960531,1866118,Recolectado,2021-02-26T23:37:56.879Z,
1208020,2001960496,1866069,Recolectado,2021-02-26T23:25:14.697Z,
1174766,3001911132,1865963,Recolectado,2021-02-26T22:55:07.208Z,
1207942,1001960319,1865961,Recolectado,2021-02-26T22:53:26.389Z,
1200107,1001948653,1865960,Recolectado,2021-02-26T22:53:04.400Z,
1207931,1001960307,1865943,Recolectado,2021-02-26T22:48:28.598Z,
1207922,3001960124,1865933,Recolectado,2021-02-26T22:46:06.033Z,
1207919,2001960300,1865930,Recolectado,2021-02-26T22:44:33.131Z,
1207912,1001960342,1865922,Recolectado,2021-02-26T22:43:30.782Z,
1207888,3001960127,1865880,Recolectado,2021-02-26T22:30:59.204Z,
1207888,3001960127,1865879,Recolectado,2021-02-26T22:30:57.310Z,
1207851,2001960114,1865824,Recolectado,2021-02-26T22:15:19.703Z,
1207827,1001960217,1865792,Recolectado,2021-02-26T22:04:45.986Z,
1207827,1001960217,1865791,Recolectado,2021-02-26T22:04:42.797Z,
1207818,1001960208,1865779,Recolectado,2021-02-26T22:02:03.216Z,
