fulfilment Id, SKURef, Item Id, Filled Qty 
2142484,40894527,2945081,0,
2142517,40894524,2945124,0,
2142783,40330810,2945475,0,
2144836,41671177,2948304,0,
2145141,40430345,2948685,0,
2145443,41666129,2949079,0,
2145661,41682259,2949373,0,
2145576,41682259,2949258,0,
2145595,39995448,2949290,0,
2145869,41001398,2949654,0,
2145909,41001398,2949712,0,
2145968,40511532,2949790,0,
2145982,40567374,2949811,0,
2146581,41648510,2950675,0,
2147163,41264400,2951529,0,
2147470,41264400,2951969,0,
2147801,41641860,2952475,0,
2148202,36609443,2953097,0,
2148322,40852210,2953273,0,
2148492,37317827,2953529,0,
2213728,41736353,3044563,0,
2213631,41736359,3044440,1,
2148730,40973670,2953857,0,
2148727,41575726,2953854,0,
2149221,40986448,2954552,0,
2149245,37197627,2954584,0,
2149247,37197628,2954586,0,
2149492,38619943,2954950,0,
2149492,40986447,2954951,0,
2149662,41587198,2955179,0,
2150019,36482004,2955716,0,
2150414,41191564,2956323,0,
2150546,39200301,2956532,0,
2152740,41671179,2959794,0,
2152933,41644171,2960075,0,
2153119,40894513,2960326,0,
2153124,41017575,2960331,0,
2153125,41017573,2960332,0,
2153126,41017574,2960333,0,
2153126,41136333,2960334,0,
2153309,40894510,2960628,0,
2153423,40894510,2960792,0,
2153438,38907930,2960818,0,
2153868,40894516,2961496,0,
2213674,40986447,3044496,0,
2154027,38619943,2961722,0,
2154027,40986447,2961723,0,
2154076,41575233,2961788,0,
2154107,39610052,2961825,0,
2154107,40819973,2961826,0,
2154508,40894527,2962373,0,
2155143,38349756,2963329,0,
2155143,41198758,2963330,0,
2155459,38131027,2963809,0,
2155492,41544711,2963851,0,
2155897,41191731,2964446,0,
2156443,40169029,2965246,0,
2156443,40169037,2965245,0,
2156443,40169053,2965248,0,
2156443,41736358,2965247,0,
2156552,41232570,2965402,0,
2156807,41054040,2965752,0,
2156935,41648513,2965972,0,
2156997,38554811,2966065,0,
2157519,38638087,2966817,0,
2157595,41644171,2966930,0,
2157648,38104896,2967012,0,
2157648,38104899,2967013,0,
2158656,40894510,2968452,0,
2161390,41618444,2972486,0,
2213674,38619943,3044495,0,
2213469,41277838,3044232,0,
2161602,40086633,2972803,0,
2161770,41648513,2973030,0,
2162433,41222636,2973997,0,
2162512,37317827,2974119,0,
2162708,40330810,2974380,0,
2162913,40785904,2974652,0,
2163043,41291557,2974841,0,
2163720,40894513,2975793,0,
2163743,41277755,2975836,0,
2163877,41544711,2976042,0,
2164124,40801205,2976397,0,
2164235,41222636,2976539,0,
2164241,40442853,2976550,0,
2164477,40050089,2976860,0,
2164447,38269944,2976823,0,
2164604,40785903,2977047,0,
2164712,40973670,2977209,0,
2164825,40407270,2977355,0,
2165037,40458875,2977617,0,
2164969,36086939,2977536,0,
2165318,40330810,2977997,0,
2165349,40894527,2978034,0,
2165600,37232285,2978388,0,
2166465,38619943,2979589,0,
2166465,40986447,2979590,0,
2166713,41544711,2979926,0,
2167394,40458875,2980866,0,
2167533,39029917,2981059,0,
2167551,38619943,2981085,0,
2167551,40986447,2981086,0,
2167563,37140590,2981105,0,
2167814,38269944,2981500,0,
2167939,37317823,2981679,0,
2167996,41264401,2981760,0,
2168010,40852203,2981775,0,
2168033,41232569,2981811,0,
2168210,40770314,2982063,0,
2168525,41232569,2982493,0,
2169039,40761585,2983208,0,
2174468,37133224,2991081,0,
2174742,41648513,2991456,0,
2174985,39175579,2991785,0,
2175012,40423273,2991815,0,
2175181,41673349,2992041,0,
2175202,41014409,2992065,0,
2175203,41014405,2992066,0,
2175203,41014408,2992067,0,
2176192,41264405,2993399,0,
2176305,39147513,2993540,0,
2176351,39995470,2993599,0,
2176351,40288574,2993600,0,
2176614,40973670,2993969,0,
2177092,41530128,2994627,0,
2177187,37317827,2994745,0,
2179087,36617283,2997333,0,
2179116,40785872,2997370,0,
2179245,40458877,2997549,0,
2179284,40330810,2997598,0,
2179284,40767372,2997599,0,
2179599,40038348,2998049,0,
2179858,41232569,2998412,0,
2180444,41222636,2999228,0,
2180496,40567377,2999302,0,
2180807,41008491,2999730,0,
2180807,41008494,2999729,0,
2180807,41008495,2999728,0,
2181296,41648511,3000365,0,
2182941,40075633,3002631,0,
2183367,40511300,3003211,0,
2183537,39961562,3003437,0,
2184207,38619943,3004387,0,
2184207,40283497,3004388,0,
2184416,41264402,3004688,0,
2184974,41544711,3005457,0,
2186849,39009926,3008111,0,
2187251,41054029,3008633,0,
2187702,30004860,3009258,0,
2187702,39610052,3009256,0,
2187702,40819973,3009257,0,
2213374,41191568,3044102,0,
2187614,41222636,3009137,0,
2187914,41637777,3009546,0,
2188282,41008492,3010036,0,
2188917,41610684,3010875,0,
2189555,39147513,3011716,0,
2190303,41587198,3012724,0,
2191878,39500412,3014914,0,
2192004,40038348,3015092,0,
2192034,38619943,3015126,0,
2192034,40986447,3015127,0,
2192205,38089703,3015372,0,
2192205,39657044,3015371,0,
2192327,38619943,3015529,0,
2192327,40986447,3015530,0,
2192733,38499944,3016095,0,
2192733,38499949,3016096,0,
2192679,41191568,3016021,0,
2192872,41575233,3016288,0,
2193070,39383317,3016561,0,
2193494,41648510,3017141,0,
2193725,37873223,3017460,0,
2194548,37255776,3018607,0,
2194779,40459698,3018930,0,
2196454,41637778,3021276,0,
2196618,39175578,3021528,0,
2197357,41680053,3022544,0,
2197603,40458877,3022874,0,
2197619,39458614,3022902,0,
2197837,41232572,3023193,0,
2197997,40028645,3023426,0,
2197998,40028649,3023427,0,
2197999,40028647,3023428,0,
2198001,38131027,3023430,0,
2198403,38239977,3023965,0,
2198837,40854951,3024601,0,
2199359,40423278,3025343,1,
2199486,37317827,3025550,0,
2199730,41236997,3025905,0,
2199741,41191564,3025919,0,
2199691,40904405,3025859,0,
2202173,38104898,3029322,0,
2202282,41648510,3029467,0,
2203822,41628851,3031414,0,
2204103,41257962,3031779,0,
2204493,40926246,3032307,0,
2205145,36620184,3033196,0,
2205713,41264404,3033925,0,
2206008,36963321,3034295,0,
2208245,38619943,3037360,0,
2208245,41222637,3037361,0,
2208639,41736359,3037847,0,
2210200,41628851,3039849,0,
2213281,38499949,3043972,0,
2210252,40181792,3039915,0,
2210560,41007390,3040337,0,
2211012,30004860,3040958,0,
2211120,39029922,3041097,0,
2211120,40038348,3041096,0,
2211144,40381885,3041128,0,
2211294,38131027,3041333,0,
2211319,40038348,3041364,0,
2211450,41054029,3041538,0,
2212418,39598048,3042791,0,
2212692,41655806,3043178,0,
2212900,41232569,3043461,0,
2213169,38638087,3043805,0,
2213202,40854370,3043863,0,
2213566,41232569,3044364,0,
2213836,40436517,3044718,0,
2214014,40038348,3044948,0,
2214081,39987594,3045044,0,
2215874,38499948,3047469,0,
2215787,41232572,3047352,0,
2216190,41154411,3047885,0,
2216381,39009936,3048133,0,
2216817,39987594,3048707,1,
2216867,41736359,3048765,1,
2216947,41526105,3048873,0,
2218838,40338136,3051466,0,
2219578,41530132,3052454,0,
2220049,38499944,3053063,0,
2220081,40377088,3053101,0,
2221623,39147513,3055102,0,
2222868,41637778,3056796,0,
2223437,38131027,3057552,0,
2224276,41419136,3058644,0,
2224278,41028483,3058647,0,
2224278,41028484,3058646,0,
2224304,40348984,3058680,0,
2224441,41649455,3058843,0,
2224541,41232568,3058977,0,
2224604,36240547,3059051,0,
2224754,37317824,3059245,0,
2225446,40511300,3060136,0,
2225539,41751486,3060249,0,
2227533,41648511,3062853,0,
2227755,41264402,3063132,0,
2228250,41232571,3063765,0,
2228998,38273634,3064752,1,
2230314,39242150,3066470,0,
2230272,38269944,3066410,0,
2230535,41682259,3066799,0,
2230633,36617283,3066938,0,
2231110,41191564,3067592,0,
2231310,41191731,3067883,0,
2232252,41136114,3069168,0,
2233106,38239332,3070377,0,
2233066,41232572,3070321,0,
2233362,40038348,3070708,0,
2234258,37571884,3071909,0,
2234781,41191564,3072618,0,
2234798,41648512,3072640,0,
2237448,40819973,3076181,0,
2237649,41232569,3076447,0,
2238205,41191731,3077214,0,
2238411,41257004,3077486,0,
2242717,38131027,3083571,0,
2242975,41648512,3083924,0,
2243154,41652441,3084190,0,
2245312,40854949,3087217,0,
2245435,36482003,3087399,0,
2246337,41736349,3088684,0,
2246787,41054043,3089328,0,
2246845,41264402,3089411,0,
2248102,40771213,3091200,0,
2248302,41191564,3091474,0,
2248862,40524465,3092268,0,
2250580,38638087,3094647,0,
2250580,40986447,3094646,0,
2250641,40770477,3094723,0,
2253657,41641860,3098727,0,
2254221,41236997,3099495,0,
2254300,40050089,3099602,0,
2254578,37317827,3099973,0,
2254765,40338136,3100245,0,
2254818,40986447,3100308,0,
2256179,36862264,3102248,0,
2256452,41648511,3102617,0,
2256482,40075633,3102657,0,
2256612,40458877,3102832,0,
2257141,37967166,3103547,0,
2257066,41264404,3103438,0,
2257071,41501384,3103452,0,
2213126,39009939,3043743,0,
2259451,41641859,3106763,0,
2261279,37509194,3109274,0,
2261449,40894511,3109510,0,
2213056,41017575,3043661,0,
2261638,38638087,3109755,0,
2261860,38239333,3110088,0,
2262282,36481985,3110657,0,
2262515,38993081,3110969,0,
2262584,41641866,3111059,0,
2262881,40894529,3111455,0,
2263039,40785905,3111678,0,
2263039,41648513,3111677,0,
2263421,40634930,3112215,0,
2264263,41054046,3113386,0,
2264685,41666129,3113954,0,
2264899,41264400,3114245,0,
2265078,40973669,3114486,0,
2212967,41648510,3043543,0,
2265737,41648512,3115364,1,
2265771,37265898,3115415,0,
2266044,37140590,3115766,0,
2266163,38165511,3115922,0,
2266441,41275953,3116288,0,
2266474,40050089,3116330,0,
2266543,41712045,3116435,0,
2266558,41235844,3116454,0,
2212774,40926306,3043282,0,
2212393,41745806,3042764,0,
2212251,41303919,3042577,0,
2268192,41236997,3118654,0,
2268520,41025841,3119079,0,
2268959,40785871,3119625,0,
2269060,41681712,3119775,1,
2269968,41232569,3120944,0,
2269940,40050089,3120910,0,
2270083,40986447,3121087,0,
2270121,41236995,3121137,0,
2270620,40986447,3121784,0,
2270880,40485263,3122126,0,
2272512,39861197,3124353,1,
2272837,38499947,3124803,0,
2272854,40986447,3124830,0,
2212160,38638087,3042454,0,
2273463,41641863,3125613,1,
2273801,41445178,3126064,0,
2273869,41232570,3126155,0,
2274937,41681712,3127633,1,
2274966,41712039,3127666,0,
2275127,41232572,3127892,0,
2275222,41745805,3128022,0,
2277249,40338135,3130771,0,
2277620,41648513,3131333,0,
2211842,39009940,3042029,0,
2277736,39657044,3131490,0,
2277808,40330810,3131583,0,
2277996,38089692,3131862,1,
2277989,41637785,3131852,0,
2278621,40973670,3132715,0,
2279458,38089692,3133948,0,
2279674,38638087,3134249,0,
2280097,40485262,3134806,0,
2280129,40926306,3134851,0,
2211842,39009930,3042030,0,
2280668,38638087,3135628,0,
2280684,37509194,3135648,1,
2280688,38179557,3135653,0,
2280688,40553596,3135652,0,
2281608,40485260,3136928,0,
2211698,40785873,3041850,0,
2211698,40785871,3041849,0,
2283296,41275953,3139253,1,
2283322,37873223,3139286,1,
2283417,40785872,3139425,0,
2285101,41745805,3141733,0,
2285274,41161175,3141980,0,
2285651,40785905,3142555,1,
2211713,41275953,3041865,0,
2210991,41054041,3040926,0,
2210901,40377088,3040792,0,
2286180,39147513,3143321,1,
2210883,41257004,3040769,0,
2288944,38461131,3147255,1,
2290632,41598520,3149658,1,
2292372,41191731,3152273,1,
2292503,41232568,3152450,1,
2292742,36609442,3152785,1,
2293434,40377091,3153781,0,
2293513,41054045,3153926,1,
2293753,41264402,3154284,1,
2293756,40785904,3154287,0,
2294236,39029920,3154986,0,
2295800,41681713,3157363,1,
2296780,40026065,3158858,1,
2299094,40511706,3162360,1,
2210874,41598520,3040757,0,
2299063,38619943,3162318,1,
2299063,40986447,3162319,1,
2299217,41598519,3162515,1,
2210745,41736359,3040586,1,
2300591,41191731,3164448,1,
2302386,41580394,3167048,1,
2210717,38499949,3040548,0,
2302691,37651527,3167460,1,
2303041,40026065,3167975,0,
2303321,41244365,3168378,0,
2210528,38206237,3040300,0,
2303999,38182426,3169326,1,
2210543,41736359,3040319,0,
2304659,40884630,3170314,1,
2306597,39631360,3173113,0,
2306666,40511756,3173203,1,
2210291,41530126,3039971,0,
2306964,38619943,3173637,0,
2306964,40986447,3173638,0,
2307020,40553597,3173722,1,
2307030,40026065,3173734,1,
2307342,41682259,3174165,1,
2210344,41736359,3040051,1,
2307737,41637779,3174731,1,
2308289,40026065,3175501,1,
2210230,38603127,3039888,0,
2210066,41261338,3039659,0,
2309863,41521149,3177734,0,
2309949,40767372,3177844,1,
2309976,40986447,3177882,1,
2309976,38619943,3177881,1,
2310085,38619943,3178051,0,
2310085,41222637,3178052,0,
2209875,41628851,3039418,1,
2209875,41736359,3039419,1,
2310676,41648512,3178868,1,
2209750,38851206,3039263,0,
2209767,38638087,3039283,0,
2209646,41736359,3039140,0,
2311030,40216244,3179388,1,
2311087,40221280,3179476,1,
2209733,41736359,3039247,1,
2311219,18822248,3179641,1,
2311618,40511756,3180180,1,
2311565,40785905,3180113,1,
2311845,40511300,3180496,1,
