Order Id, Status, CreatedOn, SKU Refs
341619,Fulfilment en Proceso,2020-07-20T21:09:57.161Z,{'39394507', '39396582', '19842099', '39394498', '37577066'}
341188,Fulfilment con Cancelacion,2020-07-20T19:33:07.570Z,{'40514979'}
340529,Fulfilment en Proceso,2020-07-20T17:20:18.755Z,{'40628032'}
339791,Fulfilment en Proceso,2020-07-20T09:25:50.568Z,{'10580987', '16522123', '36617263'}
339741,Fulfilment con Cancelacion,2020-07-20T07:16:20.798Z,{'40285400'}
339098,Solicitud de Devolución Iniciada,2020-07-20T03:06:25.299Z,{'40724796'}
339026,Fulfilment con Cancelacion,2020-07-20T02:49:00.572Z,{'40457473'}
338895,Solicitud de Devolución Iniciada,2020-07-20T02:18:49.809Z,{'40517900', '40517904'}
338621,Fulfilment con Cancelacion,2020-07-20T01:25:39.039Z,{'40401999'}
338613,Orden con Cancelacion,2020-07-20T01:23:05.507Z,{'40767965'}
337970,Orden con Cancelacion,2020-07-19T23:01:07.007Z,{'39394496', '39427303', '39380498'}
337856,Cancelado,2020-07-19T22:38:20.438Z,{'40473228', '40457475', '40549669', '40549612'}
337404,Solicitud de Devolución Iniciada,2020-07-19T20:51:42.839Z,{'40796039', '40639363', '40573016', '40740341'}
337389,Solicitud de Devolución Iniciada,2020-07-19T20:46:49.536Z,{'40454317', '40795711'}
337117,Fulfilment en Proceso,2020-07-19T19:36:51.933Z,{'40113647', '40618799', '40113890', '40113638'}
336841,Orden con Cancelacion,2020-07-19T18:31:06.411Z,{'40800124'}
336341,Solicitud de Devolución Iniciada,2020-07-19T16:28:17.431Z,{'40347072', '40517873', '40742967', '40621980', '40622378'}
336051,Cancelado,2020-07-19T14:46:03.586Z,{'39427673'}
327406,Entregado Parcial,2020-07-17T15:38:03.273Z,{'36311441', '36311471'}
305249,Orden con Cancelacion,2020-07-12T03:16:05.522Z,{'40400032'}
292819,Orden con Cancelacion,2020-07-09T22:19:42.160Z,{'40259653'}
288430,Fulfilment con Cancelacion,2020-07-08T22:06:45.567Z,{'40844530'}
288294,Solicitud de Devolución Iniciada,2020-07-08T21:35:03.630Z,{'40651594'}
