Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
1109734,1001814973,1726776,Recolectado,2021-01-30T17:30:09.099Z,'
1109700,3001815045,1726740,Recolectado,2021-01-30T17:21:38.420Z,'
1109695,1001814927,1726732,Recolectado,2021-01-30T17:19:37.227Z,'
1109624,3001814718,1726640,Recolectado,2021-01-30T16:54:07.244Z,'
1109597,3001814818,1726609,Recolectado,2021-01-30T16:44:43.735Z,'
1109597,3001814818,1726608,Recolectado,2021-01-30T16:44:42.252Z,'
1109587,3001814701,1726597,Recolectado,2021-01-30T16:40:38.123Z,'
1109581,1001814698,1726593,Recolectado,2021-01-30T16:38:54.833Z,'
1109581,1001814698,1726592,Recolectado,2021-01-30T16:38:52.048Z,'
1109581,1001814698,1726590,Recolectado,2021-01-30T16:38:50.785Z,'
1109533,1001814751,1726528,Recolectado,2021-01-30T16:20:48.341Z,'
1109511,1001814739,1726505,Recolectado,2021-01-30T16:15:09.360Z,'
1109494,3001814636,1726478,Recolectado,2021-01-30T16:00:07.055Z,'
1109490,1001814613,1726474,Recolectado,2021-01-30T15:59:45.946Z,'
1109468,1001814424,1726447,Recolectado,2021-01-30T15:48:07.680Z,'
1109466,1001814571,1726445,Recolectado,2021-01-30T15:47:24.400Z,'
1109463,3001814567,1726440,Recolectado,2021-01-30T15:47:02.751Z,'
1109433,3001814528,1726387,Recolectado,2021-01-30T15:31:06.945Z,'
1079084,1001769192,1726382,Recolectado,2021-01-30T15:29:59.246Z,'
1109425,3001814533,1726381,Recolectado,2021-01-30T15:29:01.103Z,'
1109381,3001814380,1726322,Recolectado,2021-01-30T15:02:02.623Z,'
1109310,3001814436,1726231,Recolectado,2021-01-30T14:08:47.551Z,'
1109297,1001814341,1726206,Recolectado,2021-01-30T13:59:40.674Z,'
1109292,3001814339,1726201,Recolectado,2021-01-30T13:56:04.194Z,'
1109290,3001814325,1726199,Recolectado,2021-01-30T13:55:21.672Z,'
1109285,3001814235,1726189,Recolectado,2021-01-30T13:49:47.703Z,'
1109260,3001814221,1726161,Recolectado,2021-01-30T13:24:34.800Z,'
1109238,1001814276,1726138,Recolectado,2021-01-30T12:11:57.403Z,'
1109238,1001814276,1726137,Recolectado,2021-01-30T12:11:56.333Z,'
1109159,1001814082,1726013,Recolectado,2021-01-30T07:55:39.337Z,'
1109156,3001814139,1726008,Recolectado,2021-01-30T07:47:57.923Z,'
1109156,3001814139,1726007,Recolectado,2021-01-30T07:47:51.976Z,'
1109149,3001813935,1725996,Recolectado,2021-01-30T07:39:41.065Z,'
1109124,3001814019,1725961,Recolectado,2021-01-30T07:16:05.174Z,'
1108984,3001813700,1725770,Recolectado,2021-01-30T06:00:05.865Z,'
1108959,3001813798,1725748,Recolectado,2021-01-30T05:54:55.227Z,'
1108923,1001813684,1725702,Recolectado,2021-01-30T05:43:51.416Z,'
1108918,3001813762,1725696,Recolectado,2021-01-30T05:40:39.094Z,'
1108896,3001813741,1725665,Recolectado,2021-01-30T05:32:07.517Z,'
1108872,1001813626,1725634,Recolectado,2021-01-30T05:24:24.864Z,'
1108854,1001813637,1725610,Recolectado,2021-01-30T05:18:04.892Z,'
1108854,1001813637,1725608,Recolectado,2021-01-30T05:18:01.648Z,'
1108835,3001813533,1725578,Recolectado,2021-01-30T05:14:49.306Z,'
1108793,3001813570,1725532,Recolectado,2021-01-30T05:02:32.103Z,'
1108793,3001813570,1725531,Recolectado,2021-01-30T05:02:30.334Z,'
1108772,1001813565,1725500,Recolectado,2021-01-30T04:57:56.849Z,'
1108741,1001813468,1725454,Recolectado,2021-01-30T04:49:40.326Z,'
1108705,3001813411,1725408,Recolectado,2021-01-30T04:41:30.204Z,'
1108695,3001813403,1725397,Recolectado,2021-01-30T04:38:49.712Z,'
1108664,1001813298,1725354,Recolectado,2021-01-30T04:30:04.755Z,'
1108663,1001813326,1725353,Recolectado,2021-01-30T04:29:40.447Z,'
1108596,1001813281,1725256,Recolectado,2021-01-30T04:15:04.306Z,'
1108568,3001813199,1725222,Recolectado,2021-01-30T04:06:44.617Z,'
1108554,3001813185,1725204,Recolectado,2021-01-30T04:03:53.762Z,'
1108501,3001813142,1725133,Recolectado,2021-01-30T03:51:39.611Z,'
1108453,3001813014,1725076,Recolectado,2021-01-30T03:45:08.837Z,'
1108435,1001812997,1725051,Recolectado,2021-01-30T03:39:14.079Z,'
1108420,3001813072,1725036,Recolectado,2021-01-30T03:33:38.206Z,'
1108396,1001812976,1725007,Recolectado,2021-01-30T03:29:04.046Z,'
1108390,1001812972,1724999,Recolectado,2021-01-30T03:27:28.394Z,'
1108380,1001812962,1724985,Recolectado,2021-01-30T03:25:05.493Z,'
1108354,1001812819,1724940,Recolectado,2021-01-30T03:17:04.171Z,'
1108352,3001812817,1724936,Recolectado,2021-01-30T03:16:29.419Z,'
1108329,3001812915,1724894,Recolectado,2021-01-30T03:13:05.507Z,'
1108313,3001812896,1724868,Recolectado,2021-01-30T03:08:28.008Z,'
1108305,3001812791,1724859,Recolectado,2021-01-30T03:07:14.050Z,'
1108225,1001812729,1724747,Recolectado,2021-01-30T02:46:23.588Z,'
1108205,1001812623,1724721,Recolectado,2021-01-30T02:43:10.720Z,'
1108204,3001812621,1724720,Recolectado,2021-01-30T02:43:08.122Z,'
1108201,3001812714,1724717,Recolectado,2021-01-30T02:41:57.950Z,'
1108194,1001812615,1724709,Recolectado,2021-01-30T02:40:33.606Z,'
