Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1288842,2002082473,1964298,Recolectado,2021-04-12T17:57:28.579Z,
1288826,3002082453,1964282,Recolectado,2021-04-12T17:46:53.463Z,
1288818,1002082387,1964270,Recolectado,2021-04-12T17:46:06.596Z,
1288797,2002082326,1964246,Recolectado,2021-04-12T17:34:18.303Z,
1288730,3002082269,1964166,Recolectado,2021-04-12T16:50:58.142Z,
1288706,1002082248,1964137,Recolectado,2021-04-12T16:33:20.062Z,
1288699,3002082130,1964130,Recolectado,2021-04-12T16:29:24.168Z,
1288674,3002082220,1964101,Recolectado,2021-04-12T16:16:06.998Z,
1288673,3002082219,1964100,Recolectado,2021-04-12T16:16:06.566Z,
1288656,1002082200,1964081,Recolectado,2021-04-12T16:00:07.529Z,
1288644,3002082196,1964066,Recolectado,2021-04-12T15:48:20.866Z,
1288625,1002082168,1964046,Recolectado,2021-04-12T15:30:30.372Z,
1288596,1002082027,1964008,Recolectado,2021-04-12T15:00:04.143Z,
1288595,1002082074,1964007,Recolectado,2021-04-12T14:55:58.609Z,
1288587,3002082017,1963997,Recolectado,2021-04-12T14:46:09.144Z,
1288525,3002081954,1963926,Recolectado,2021-04-12T08:06:29.955Z,
1288525,3002081954,1963925,Recolectado,2021-04-12T08:06:26.017Z,
1288520,3002081822,1963920,Recolectado,2021-04-12T07:42:57.920Z,
1288490,3002081801,1963888,Recolectado,2021-04-12T06:15:39.530Z,
1288469,3002081899,1963866,Recolectado,2021-04-12T05:38:45.555Z,
1288468,1002081794,1963865,Recolectado,2021-04-12T05:37:14.127Z,
1288433,3002081856,1963828,Recolectado,2021-04-12T04:58:34.177Z,
1288416,3002081735,1963806,Recolectado,2021-04-12T04:32:30.477Z,
1288407,1002081702,1963793,Recolectado,2021-04-12T04:31:07.769Z,
1288405,3002081731,1963792,Recolectado,2021-04-12T04:30:41.413Z,
1288305,1002081620,1963679,Recolectado,2021-04-12T03:16:52.911Z,
1288286,1002081491,1963659,Recolectado,2021-04-12T03:01:48.237Z,
1288232,3002081549,1963597,Recolectado,2021-04-12T02:26:34.102Z,
1288216,3002081416,1963578,Recolectado,2021-04-12T02:15:08.817Z,
1288210,3002081441,1963572,Recolectado,2021-04-12T02:13:08.949Z,
1288195,3002081232,1963556,Recolectado,2021-04-12T02:05:48.799Z,
1288184,3002081225,1963546,Recolectado,2021-04-12T02:00:48.768Z,
1288184,3002081225,1963543,Recolectado,2021-04-12T02:00:40.643Z,
1288182,1002081391,1963539,Recolectado,2021-04-12T02:00:07.885Z,
1288168,1002081213,1963525,Recolectado,2021-04-12T01:51:52.624Z,
1288161,3002081367,1963515,Recolectado,2021-04-12T01:46:10.762Z,
1288142,3002081362,1963495,Recolectado,2021-04-12T01:33:08.987Z,
1288106,3002081328,1963456,Recolectado,2021-04-12T01:05:31.337Z,
1288055,3002081272,1963397,Recolectado,2021-04-12T00:40:04.058Z,
1287886,1002080901,1963193,Recolectado,2021-04-11T22:58:27.562Z,
1287872,2002080958,1963178,Recolectado,2021-04-11T22:50:42.487Z,
1287842,2002080854,1963147,Recolectado,2021-04-11T22:32:49.555Z,
